Zip,Population
11368,112425
11385,106717
10467,103732
11211,102624
11236,100331
11226,100277
11208,98660
11234,95666
11220,95643
10456,94218
11373,93967
11214,92946
10025,92805
11207,91972
10314,90761
11219,90036
11230,89075
11206,88349
11377,86421
10458,83960
11221,83835
11229,83615
11223,81789
11355,80853
10453,79606
10029,79597
10468,78647
11235,78128
11204,76978
11233,76819
10462,76756
11212,76527
10452,76078
11203,75451
10002,74993
10457,74554
11218,74508
10469,73870
11375,73488
10466,72479
10463,71360
11215,70156
10472,68796
11706,68773
11746,68491
11209,67809
11691,67094
11210,67040
11213,66295
11434,65791
10977,64882
10027,64548
14850,64484
10032,64264
11717,63054
11201,62823
10023,62435
11432,62053
11372,61844
10312,61741
10031,60254
10473,59609
10033,59607
10460,59505
10701,59312
11435,59296
10128,59256
10024,59001
11225,58882
10009,57925
11550,57652
11216,56308
11354,55200
12550,54988
10003,54682
11238,54540
14221,54081
12180,53437
11758,53424
10306,53142
14580,52587
10016,51057
10950,50895
10011,50472
10461,50348
11419,49618
11237,49310
14094,49170
10940,49068
11420,48489
10459,48351
10451,47798
10028,47793
11224,46707
11590,46560
10021,46215
11205,46064
11772,45964
11003,45263
11228,44994
11365,44983
10040,44571
14120,44437
10465,44205
11757,44115
11580,43714
10019,43703
11520,43408
13760,43350
10475,43208
11756,43099
10034,42910
12065,42868
11374,42653
12603,42589
14075,42471
11413,42443
10305,42298
10455,42283
14609,42042
11743,41938
11040,41877
10952,41834
11367,41824
10801,41759
12601,41539
11217,41407
13440,41243
10304,41064
14450,41035
11421,41002
14150,40825
10705,40733
14224,40590
11801,40340
11704,40285
10583,40013
14215,39962
11357,39902
14701,39731
10026,39363
12866,39178
10573,38861
10301,38733
11418,38517
11106,38363
10454,38203
13021,38114
11779,38063
11379,37851
11231,37845
10550,37817
11561,37662
13501,37646
13601,37624
11412,37458
11105,37382
11554,37358
11378,37279
11358,37190
11364,36806
11222,36492
11433,36489
13126,36335
11103,36140
14624,35885
10035,35743
12401,35339
12590,34711
14612,34259
11710,34237
11369,34118
11787,34099
10010,33730
10309,33531
11510,33484
12020,33456
11735,33454
11566,33401
14225,33328
14621,33264
13027,32949
12901,32846
14086,32671
13502,32542
11722,32524
11370,32514
10704,32223
11422,32082
11417,31927
10562,31772
10956,31619
11423,31400
14534,31303
12203,31251
11793,31238
10022,31125
11102,30800
10014,30738
12309,30397
11731,30357
14127,30297
10308,30186
11050,30132
11101,30043
14626,29901
10030,29882
11572,29846
11727,29823
13090,29758
14226,29700
11725,29578
10598,29492
14304,29375
13045,29223
11414,29219
11763,29018
10013,28709
11720,28556
11530,28454
13210,28234
12303,28233
12010,28221
14606,28198
11701,28149
10065,28109
11803,28018
11001,27867
11542,27773
10039,27726
11570,27722
14424,27717
11967,27649
14616,27616
11232,27602
11901,27486
10036,27428
11729,27419
12302,27407
11429,27403
11361,27246
12205,27212
11741,27149
11416,27125
10541,26656
12306,26599
12553,26465
10710,26410
12804,26272
13905,26194
11791,26121
11104,26119
10303,25947
14623,25917
11553,25869
12533,25406
11552,25178
11010,25068
11784,24992
11795,24982
10512,24716
11776,24666
14620,24542
13069,24511
14043,24420
14213,24167
11427,24037
14220,23980
10566,23951
14207,23808
10901,23538
10012,23411
12078,23381
11356,23362
10954,23354
10310,23262
10591,23077
14217,22974
10001,22924
12304,22833
10038,22800
13208,22738
11714,22714
14020,22642
11762,22606
14618,22602
14617,22589
14223,22499
14216,22280
13850,22186
14228,22103
12110,22041
13820,21997
13088,21986
11563,21965
10708,21935
14211,21900
12208,21896
10471,21896
10703,21854
14227,21846
10075,21556
11694,21354
13212,21349
11581,21275
11783,21265
11768,21158
10037,21139
11692,20991
12047,20935
14420,20925
14072,20897
11426,20801
11411,20759
10543,20715
10567,20563
11726,20558
14845,20451
14526,20340
12144,20272
14051,20198
11436,20077
14206,19869
14214,19775
14830,19772
12508,19747
11360,19621
10552,19569
10509,19461
11501,19393
11415,19372
10805,19215
14456,19201
13901,19195
14218,18951
14559,18937
11428,18929
11747,18922
12561,18731
13204,18728
11362,18721
10605,18643
11030,18578
13903,18496
10302,18204
11021,18185
14760,18163
12477,18162
11754,18086
12534,17967
13790,17875
10603,17843
14468,17789
11790,17694
12189,17563
13205,17479
10580,17391
11738,17352
12831,17228
12589,17017
13676,17016
13039,16837
14607,16750
14305,16683
12054,16649
14611,16630
14052,16614
14615,16613
10606,16600
11575,16546
10538,16545
11733,16545
13203,16528
10549,16465
13413,16382
13206,16360
11788,16228
13662,16069
11937,15984
14901,15965
12524,15964
11703,15952
12206,15944
11950,15884
10017,15801
11767,15783
13669,15782
11780,15753
10960,15684
12953,15569
10965,15517
13104,15515
14904,15480
13031,15451
10470,15432
12308,15422
11004,15234
10307,15232
12118,15218
11946,15145
14564,15127
11798,15033
12182,14928
11782,14915
13215,14892
11949,14863
13219,14781
12771,14757
10804,14753
14210,14723
14063,14676
11366,14650
14619,14602
11751,14559
12019,14429
12801,14381
14048,14177
14411,14176
14610,14050
14222,14037
12538,13996
14513,13970
10980,13943
11730,13860
11702,13788
13057,13772
11598,13715
14613,13578
11953,13401
10924,13389
11961,13330
13421,13291
12839,13265
11239,13244
10941,13176
10520,13152
13207,13135
10528,13128
13815,12985
14527,12951
13209,12940
11693,12919
14843,12911
10570,12893
12528,12871
11577,12808
10530,12791
11764,12723
11753,12596
14301,12594
11742,12566
13066,12550
10803,12544
11755,12510
14004,12496
14605,12470
11766,12414
11951,12391
11545,12390
10514,12389
10918,12287
12095,12228
14810,12135
12586,12129
10474,12127
11576,12099
14219,12092
10927,12081
13032,12057
14608,12019
14622,11976
14586,11897
14425,11848
14519,11771
10044,11682
14201,11680
11778,11641
12701,11626
10601,11612
13041,11453
14437,11439
13827,11315
13492,11268
12549,11235
14454,11188
13323,11097
14092,11083
10604,11045
13617,11034
10522,11027
12566,11003
12188,10952
13357,10855
10536,10853
14208,10805
12211,10752
14212,10695
11968,10667
13619,10640
13078,10607
13148,10605
11596,10561
13165,10559
14502,10545
14103,10541
10553,10429
10510,10381
10707,10316
14031,10301
12569,10268
12414,10203
14059,10144
14625,10122
11518,10101
14467,10056
10970,10055
12571,9999
11716,9957
14006,9949
13904,9948
13642,9871
13350,9827
11713,9710
12210,9706
10018,9687
10709,9663
12202,9624
13603,9589
14870,9565
11752,9564
14001,9549
11771,9500
14011,9470
13037,9442
10280,9384
12209,9383
14895,9354
12061,9325
10989,9300
14522,9231
11023,9215
10523,9077
11740,9070
10920,9008
10930,8990
14032,8955
10992,8951
11777,8951
13035,8851
10005,8831
13036,8798
10589,8751
11797,8737
10706,8734
11769,8706
11565,8696
11792,8688
13214,8685
14204,8649
13367,8617
12572,8596
14905,8593
12563,8555
12828,8546
12803,8525
10579,8483
13365,8469
14472,8421
11789,8380
10595,8341
11096,8311
13224,8296
14057,8284
10504,8254
10923,8244
11558,8217
13152,8208
14482,8189
11559,8181
12043,8171
11024,8101
14892,8084
13340,8075
12540,8071
12009,8036
11934,8006
12033,7924
14445,7875
12159,7845
13732,7796
12198,7772
10547,7737
11516,7670
12204,7628
14903,7584
11705,7565
14464,7555
10533,7551
14470,7548
14141,7497
11557,7480
14428,7439
11963,7430
14589,7426
14209,7410
12983,7371
10994,7326
12018,7324
12570,7322
14085,7306
11933,7302
11507,7286
13403,7258
13029,7243
10607,7194
13077,7135
14886,7130
14414,7101
10507,7068
10590,7060
10007,7023
12428,7022
12564,6995
11363,6952
14489,6923
12184,6871
12158,6852
14070,6847
12077,6823
14514,6821
14779,6785
11709,6708
13135,6689
10996,6673
14068,6632
12754,6608
13202,6581
12832,6569
13073,6475
12051,6421
13339,6396
12721,6394
10577,6373
11560,6365
13142,6338
14047,6298
14432,6297
12834,6286
12582,6272
11971,6235
14706,6189
13316,6179
12222,6153
13902,6149
13211,6145
12090,6139
13865,6135
12822,6123
13114,6120
12307,6115
11786,6111
11721,6086
14108,6082
14469,6071
12986,6071
14568,6065
13108,6050
12186,6047
13346,6045
13118,6039
12972,6034
13856,6009
12518,5988
11109,5981
14569,5915
14487,5910
12962,5831
13309,5823
14303,5805
14132,5792
14837,5779
13753,5777
14261,5736
11020,5728
13624,5715
10506,5693
10913,5610
11980,5604
10282,5593
13326,5584
13166,5572
10502,5567
13778,5557
14867,5548
10516,5542
12542,5537
12123,5492
14174,5475
10993,5433
14551,5426
14590,5412
11940,5404
12025,5404
14801,5379
13159,5348
14009,5341
14067,5328
14530,5317
10962,5314
14727,5225
10594,5215
11579,5209
13830,5196
13068,5160
13407,5155
10069,5085
12170,5061
12305,5059
14131,5039
12498,5005
13053,4980
10532,4968
12084,4959
14505,4925
12887,4919
11804,4916
14572,4910
12446,4902
10576,4891
12883,4885
14871,4879
13733,4861
11952,4841
12522,4833
11715,4832
10560,4825
13605,4816
12143,4800
12946,4790
14510,4772
12545,4750
14787,4739
14036,4729
11568,4704
14883,4670
12845,4647
14423,4631
12053,4621
14546,4608
11514,4597
11942,4597
14105,4570
13452,4553
14136,4551
12992,4517
13140,4509
12871,4492
14750,4483
14512,4446
12037,4444
10464,4434
12580,4434
12885,4432
13862,4429
12148,4414
14532,4389
13082,4380
10916,4361
12594,4357
14737,4351
14433,4350
13849,4334
13329,4330
13811,4313
12122,4313
13838,4284
13460,4279
10963,4276
12816,4269
14541,4255
14802,4251
13803,4240
12157,4228
10524,4227
14891,4210
12134,4186
12833,4182
14080,4158
11944,4121
14772,4108
12944,4100
13074,4078
14882,4072
13637,4057
10928,4057
13030,4057
13634,4049
13602,4007
14485,3989
14042,3966
13456,3962
12790,3956
13317,3954
13833,3947
13354,3944
12929,3916
10921,3911
12758,3908
10925,3878
14733,3844
11796,3826
10548,3817
12027,3815
13033,3801
11955,3785
13748,3779
13408,3775
14548,3764
11732,3764
12083,3760
13476,3736
13131,3736
13084,3734
14125,3733
12865,3688
12827,3665
11954,3655
12526,3639
13491,3617
11719,3604
13743,3576
14823,3561
11697,3540
14416,3528
13439,3518
13116,3504
13787,3502
12809,3493
12487,3483
14202,3474
10926,3467
10006,3454
12449,3433
13655,3431
13795,3424
14719,3424
13480,3398
13132,3397
12543,3395
12443,3378
12196,3371
14812,3366
10958,3365
14543,3360
11749,3345
10987,3342
14111,3337
13080,3329
12531,3323
13417,3317
13471,3313
12404,3306
12138,3300
14757,3298
13668,3291
14710,3268
13438,3253
14062,3248
14738,3247
12846,3243
13754,3233
14025,3223
13167,3215
12850,3204
11935,3199
13825,3193
13411,3189
14821,3186
14712,3178
10974,3175
11724,3160
10998,3157
14081,3130
12919,3121
13667,3118
13656,3108
13308,3106
12117,3094
12068,3083
14755,3080
11718,3069
14517,3063
11978,3058
13461,3031
10004,3028
14561,3021
12015,3006
14865,2981
14172,2978
11548,2963
11794,2952
12567,2951
12520,2947
14807,2946
13332,2939
14735,2931
12514,2905
14098,2905
11549,2901
12547,2899
12074,2895
12072,2884
13691,2878
12525,2858
12075,2850
14715,2840
12413,2815
12546,2815
13060,2809
10588,2808
12154,2807
12458,2804
14034,2800
10984,2780
14770,2777
12821,2766
13478,2760
14435,2750
14739,2746
14716,2746
12056,2743
12167,2737
12529,2730
13654,2722
12501,2719
12788,2717
13606,2716
14840,2712
13143,2706
14853,2690
12966,2685
13730,2683
12484,2671
13783,2665
14471,2651
13044,2621
14525,2607
13042,2604
12183,2591
13164,2587
14873,2578
13613,2574
14817,2556
12094,2550
14170,2544
14775,2530
13685,2520
13409,2519
12859,2489
13812,2482
13092,2479
13424,2468
12583,2465
12921,2464
11977,2455
14516,2454
14139,2438
14782,2435
13040,2434
12106,2427
13459,2405
12466,2402
14847,2395
12149,2388
13324,2382
14012,2379
10968,2363
12958,2362
14724,2361
14627,2360
10976,2357
14521,2357
13146,2354
13416,2346
13622,2344
12920,2339
14422,2333
12835,2328
14813,2325
13612,2322
13076,2314
12581,2313
12981,2301
13101,2301
13648,2298
13658,2288
14809,2279
13363,2279
14476,2274
14744,2268
12185,2262
13673,2260
13120,2250
13620,2245
13626,2245
14604,2243
13616,2229
12979,2223
12776,2214
12918,2208
12578,2206
14747,2201
13495,2197
13797,2194
12926,2192
14040,2179
12748,2160
10511,2158
11509,2153
13736,2153
14767,2146
14560,2142
12023,2134
14818,2129
10973,2123